country,continent,lifeExp,pop,gdpPercap
Afghanistan,Asia,36.088,13079460,739.9811058
Albania,Europe,67.69,2263554,3313.422188
Algeria,Africa,54.518,14760787,4182.663766
Angola,Africa,37.928,5894858,5473.288005
Argentina,Americas,67.065,24779799,9443.038526
Australia,Oceania,71.93,13177000,16788.62948
Austria,Europe,70.63,7544201,16661.6256
Bahrain,Asia,63.3,230800,18268.65839
Bangladesh,Asia,45.252,70759295,630.2336265
Belgium,Europe,71.44,9709100,16672.14356
Benin,Africa,47.014,2761407,1085.796879
Bolivia,Americas,46.714,4565872,2980.331339
Bosnia and Herzegovina,Europe,67.45,3819000,2860.16975
Botswana,Africa,56.024,619351,2263.611114
Brazil,Americas,59.504,100840058,4985.711467
Bulgaria,Europe,70.9,8576200,6597.494398
Burkina Faso,Africa,43.591,5433886,854.7359763
Burundi,Africa,44.057,3529983,464.0995039
Cambodia,Asia,40.317,7450606,421.6240257
Cameroon,Africa,47.049,7021028,1684.146528
Canada,Americas,72.88,22284500,18970.57086
Central African Republic,Africa,43.457,1927260,1070.013275
Chad,Africa,45.569,3899068,1104.103987
Chile,Americas,63.441,9717524,5494.024437
China,Asia,63.11888,862030000,676.9000921
Colombia,Americas,61.623,22542890,3264.660041
Comoros,Africa,48.944,250027,1937.577675
"Congo, Dem. Rep.",Africa,45.989,23007669,904.8960685
"Congo, Rep.",Africa,54.907,1340458,3213.152683
Costa Rica,Americas,67.849,1834796,5118.146939
Cote d'Ivoire,Africa,49.801,6071696,2378.201111
Croatia,Europe,69.61,4225310,9164.090127
Cuba,Americas,70.723,8831348,5305.445256
Czech Republic,Europe,70.29,9862158,13108.4536
Denmark,Europe,73.47,4991596,18866.20721
Djibouti,Africa,44.366,178848,3694.212352
Dominican Republic,Americas,59.631,4671329,2189.874499
Ecuador,Americas,58.796,6298651,5280.99471
Egypt,Africa,51.137,34807417,2024.008147
El Salvador,Americas,58.207,3790903,4520.246008
Equatorial Guinea,Africa,40.516,277603,672.4122571
Eritrea,Africa,44.142,2260187,514.3242082
Ethiopia,Africa,43.515,30770372,566.2439442
Finland,Europe,70.87,4639657,14358.8759
France,Europe,72.38,51732000,16107.19171
Gabon,Africa,48.69,537977,11401.94841
Gambia,Africa,38.308,517101,756.0868363
Germany,Europe,71,78717088,18016.18027
Ghana,Africa,49.875,9354120,1178.223708
Greece,Europe,72.34,8888628,12724.82957
Guatemala,Americas,53.738,5149581,4031.408271
Guinea,Africa,38.842,3811387,741.6662307
Guinea-Bissau,Africa,36.486,625361,820.2245876
Haiti,Americas,48.042,4698301,1654.456946
Honduras,Americas,53.884,2965146,2529.842345
"Hong Kong, China",Asia,72,4115700,8315.928145
Hungary,Europe,69.76,10394091,10168.65611
Iceland,Europe,74.46,209275,15798.06362
India,Asia,50.651,567000000,724.032527
Indonesia,Asia,49.203,121282000,1111.107907
Iran,Asia,55.234,30614000,9613.818607
Iraq,Asia,56.95,10061506,9576.037596
Ireland,Europe,71.28,3024400,9530.772896
Israel,Asia,71.63,3095893,12786.93223
Italy,Europe,72.19,54365564,12269.27378
Jamaica,Americas,69,1997616,7433.889293
Japan,Asia,73.42,107188273,14778.78636
Jordan,Asia,56.528,1613551,2110.856309
Kenya,Africa,53.559,12044785,1222.359968
"Korea, Dem. Rep.",Asia,63.983,14781241,3701.621503
"Korea, Rep.",Asia,62.612,33505000,3030.87665
Kuwait,Asia,67.712,841934,109347.867
Lebanon,Asia,65.421,2680018,7486.384341
Lesotho,Africa,49.767,1116779,496.5815922
Liberia,Africa,42.614,1482628,803.0054535
Libya,Africa,52.773,2183877,21011.49721
Madagascar,Africa,44.851,7082430,1748.562982
Malawi,Africa,41.766,4730997,584.6219709
Malaysia,Asia,63.01,11441462,2849.09478
Mali,Africa,39.977,5828158,581.3688761
Mauritania,Africa,48.437,1332786,1586.851781
Mauritius,Africa,62.944,851334,2575.484158
Mexico,Americas,62.361,55984294,6809.40669
Mongolia,Asia,53.754,1320500,1421.741975
Montenegro,Europe,70.636,527678,7778.414017
Morocco,Africa,52.862,16660670,1930.194975
Mozambique,Africa,40.328,9809596,724.9178037
Myanmar,Asia,53.07,28466390,357
Namibia,Africa,53.867,821782,3746.080948
Nepal,Asia,43.971,12412593,674.7881296
Netherlands,Europe,73.75,13329874,18794.74567
New Zealand,Oceania,71.89,2929100,16046.03728
Nicaragua,Americas,55.151,2182908,4688.593267
Niger,Africa,40.546,5060262,954.2092363
Nigeria,Africa,42.821,53740085,1698.388838
Norway,Europe,74.34,3933004,18965.05551
Oman,Asia,52.143,829050,10618.03855
Pakistan,Asia,51.929,69325921,1049.938981
Panama,Americas,66.216,1616384,5364.249663
Paraguay,Americas,65.815,2614104,2523.337977
Peru,Americas,55.448,13954700,5937.827283
Philippines,Asia,58.065,40850141,1989.37407
Poland,Europe,70.85,33039545,8006.506993
Portugal,Europe,69.26,8970450,9022.247417
Puerto Rico,Americas,72.16,2847132,9123.041742
Reunion,Africa,64.274,461633,5047.658563
Romania,Europe,69.21,20662648,8011.414402
Rwanda,Africa,44.6,3992121,590.5806638
Sao Tome and Principe,Africa,56.48,76595,1532.985254
Saudi Arabia,Asia,53.886,6472756,24837.42865
Senegal,Africa,45.815,4588696,1597.712056
Serbia,Europe,68.7,8313288,10522.06749
Sierra Leone,Africa,35.4,2879013,1353.759762
Singapore,Asia,69.521,2152400,8597.756202
Slovak Republic,Europe,70.35,4593433,9674.167626
Slovenia,Europe,69.82,1694510,12383.4862
Somalia,Africa,40.973,3840161,1254.576127
South Africa,Africa,53.696,23935810,7765.962636
Spain,Europe,73.06,34513161,10638.75131
Sri Lanka,Asia,65.042,13016733,1213.39553
Sudan,Africa,45.083,14597019,1659.652775
Swaziland,Africa,49.552,480105,3364.836625
Sweden,Europe,74.72,8122293,17832.02464
Switzerland,Europe,73.78,6401400,27195.11304
Syria,Asia,57.296,6701172,2571.423014
Taiwan,Asia,69.39,15226039,4062.523897
Tanzania,Africa,47.62,14706593,915.9850592
Thailand,Asia,60.405,39276153,1524.358936
Togo,Africa,49.759,2056351,1649.660188
Trinidad and Tobago,Americas,65.9,975199,6619.551419
Tunisia,Africa,55.602,5303507,2753.285994
Turkey,Europe,57.005,37492953,3450.69638
Uganda,Africa,51.016,10190285,950.735869
United Kingdom,Europe,72.01,56079000,15895.11641
United States,Americas,71.34,209896000,21806.03594
Uruguay,Americas,68.673,2829526,5703.408898
Venezuela,Americas,65.712,11515649,10505.25966
Vietnam,Asia,50.254,44655014,699.5016441
West Bank and Gaza,Asia,56.532,1089572,3133.409277
"Yemen, Rep.",Asia,39.848,7407075,1265.047031
Zambia,Africa,50.107,4506497,1773.498265
Zimbabwe,Africa,55.635,5861135,799.3621758
